기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,미추홀구,현지인방문자(a),5080652.0,0.0
201901,미추홀구,외지인방문자(b),3485884.0,0.0
201901,미추홀구,외국인방문자(c),13834.0,0.0
201901,미추홀구,외부방문자(b+c),3499719.0,0.0
201901,미추홀구,전체방문자(a+b+c),8580371.0,0.0
201902,미추홀구,현지인방문자(a),4336062.0,0.0
201902,미추홀구,외지인방문자(b),3237020.0,0.0
201902,미추홀구,외국인방문자(c),14799.0,0.0
201902,미추홀구,외부방문자(b+c),3251819.0,0.0
201902,미추홀구,전체방문자(a+b+c),7587882.0,0.0
201903,미추홀구,현지인방문자(a),5189468.0,0.0
201903,미추홀구,외지인방문자(b),4282943.0,0.0
201903,미추홀구,외국인방문자(c),13264.0,0.0
201903,미추홀구,외부방문자(b+c),4296207.0,0.0
201903,미추홀구,전체방문자(a+b+c),9485674.0,0.0
201904,미추홀구,현지인방문자(a),4809060.0,0.0
201904,미추홀구,외지인방문자(b),3580028.0,0.0
201904,미추홀구,외국인방문자(c),15384.0,0.0
201904,미추홀구,외부방문자(b+c),3595411.0,0.0
201904,미추홀구,전체방문자(a+b+c),8404471.0,0.0
201905,미추홀구,현지인방문자(a),5067332.0,0.0
201905,미추홀구,외지인방문자(b),4104698.0,0.0
201905,미추홀구,외국인방문자(c),14927.0,0.0
201905,미추홀구,외부방문자(b+c),4119625.0,0.0
201905,미추홀구,전체방문자(a+b+c),9186957.0,0.0
201906,미추홀구,현지인방문자(a),4774864.0,0.0
201906,미추홀구,외지인방문자(b),3968234.0,0.0
201906,미추홀구,외국인방문자(c),11523.0,0.0
201906,미추홀구,외부방문자(b+c),3979757.0,0.0
201906,미추홀구,전체방문자(a+b+c),8754621.0,0.0
201907,미추홀구,현지인방문자(a),4838778.0,0.0
201907,미추홀구,외지인방문자(b),4081700.0,0.0
201907,미추홀구,외국인방문자(c),15530.0,0.0
201907,미추홀구,외부방문자(b+c),4097230.0,0.0
201907,미추홀구,전체방문자(a+b+c),8936008.0,0.0
201908,미추홀구,현지인방문자(a),4686916.0,0.0
201908,미추홀구,외지인방문자(b),4401078.0,0.0
201908,미추홀구,외국인방문자(c),17464.0,0.0
201908,미추홀구,외부방문자(b+c),4418543.0,0.0
201908,미추홀구,전체방문자(a+b+c),9105459.0,0.0
201909,미추홀구,현지인방문자(a),4408075.0,0.0
201909,미추홀구,외지인방문자(b),4454650.0,0.0
201909,미추홀구,외국인방문자(c),18092.0,0.0
201909,미추홀구,외부방문자(b+c),4472741.0,0.0
201909,미추홀구,전체방문자(a+b+c),8880816.0,0.0
201910,미추홀구,현지인방문자(a),4466472.0,0.0
201910,미추홀구,외지인방문자(b),4080212.0,0.0
201910,미추홀구,외국인방문자(c),16966.0,0.0
201910,미추홀구,외부방문자(b+c),4097179.0,0.0
201910,미추홀구,전체방문자(a+b+c),8563651.0,0.0
201911,미추홀구,현지인방문자(a),5046790.0,0.0
201911,미추홀구,외지인방문자(b),4542122.0,3549318.0
201911,미추홀구,외국인방문자(c),17470.0,18700.0
201911,미추홀구,외부방문자(b+c),4559592.0,3568019.0
201911,미추홀구,전체방문자(a+b+c),9606382.0,3568019.0
201912,미추홀구,현지인방문자(a),5292116.0,5251743.0
201912,미추홀구,외지인방문자(b),4196584.0,3679820.0
201912,미추홀구,외국인방문자(c),16548.0,14083.0
201912,미추홀구,외부방문자(b+c),4213132.0,3693903.0
201912,미추홀구,전체방문자(a+b+c),9505248.0,8945646.0
