대분류,중분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율
쇼핑업,관광기념품,3.55853415E8,15.4,6595174.0,1.9
쇼핑업,대형쇼핑몰,3.55853415E8,15.4,1.70310121E8,47.9
쇼핑업,레저용품쇼핑,3.55853415E8,15.4,1.78774265E8,50.2
쇼핑업,면세점,3.55853415E8,15.4,173854.0,0.0
숙박업,기타숙박,3.32994284E8,14.5,1.17614101E8,35.3
숙박업,캠핑장/펜션,3.32994284E8,14.5,2585284.0,0.8
숙박업,콘도,3.32994284E8,14.5,1.46702045E8,44.1
숙박업,호텔,3.32994284E8,14.5,6.6092853E7,19.8
식음료업,식음료,1.278955054E9,55.5,1.278955054E9,100.0
여가서비스업,골프장,3.28860666E8,14.3,2.59415345E8,78.9
여가서비스업,관광유원시설,3.28860666E8,14.3,8989133.0,2.7
여가서비스업,기타레저,3.28860666E8,14.3,1.8936761E7,5.8
여가서비스업,문화서비스,3.28860666E8,14.3,3.1548397E7,9.6
여가서비스업,스키장,3.28860666E8,14.3,9971030.0,3.0
여행업,여행업,5105597.0,0.2,5105597.0,100.0
운송업,렌터카,2443237.0,0.1,1177595.0,48.2
운송업,수상운송,2443237.0,0.1,516652.0,21.1
운송업,육상운송,2443237.0,0.1,605431.0,24.8
운송업,항공운송,2443237.0,0.1,143559.0,5.9
