광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,부천시,858312.0
경기도,성남시 분당구,759090.0
경기도,화성시,715736.0
경기도,남양주시,644906.0
경기도,용인시 기흥구,540652.0
경기도,김포시,498908.0
경기도,용인시 수지구,450716.0
경기도,고양시 덕양구,449064.0
경기도,수원시 영통구,437756.0
경기도,고양시 일산동구,409202.0
경기도,의정부시,392868.0
경기도,광주시,383344.0
경기도,평택시,372771.0
경기도,안양시 동안구,350238.0
경기도,파주시,334680.0
경기도,시흥시,327394.0
경기도,수원시 권선구,325818.0
경기도,고양시 일산서구,300783.0
경기도,하남시,295120.0
경기도,광명시,292534.0
경기도,수원시 장안구,281936.0
경기도,군포시,276031.0
경기도,성남시 수정구,269000.0
경기도,용인시 처인구,268454.0
경기도,안산시 상록구,263018.0
경기도,안산시 단원구,239428.0
경기도,구리시,233762.0
경기도,안양시 만안구,211953.0
경기도,이천시,207904.0
경기도,수원시 팔달구,185927.0
경기도,성남시 중원구,182532.0
경기도,양주시,172081.0
경기도,오산시,171490.0
경기도,안성시,162855.0
경기도,의왕시,154620.0
경기도,포천시,120260.0
경기도,양평군,113071.0
경기도,여주시,104108.0
경기도,과천시,98794.0
경기도,동두천시,59742.0
경기도,가평군,55808.0
경기도,연천군,35112.0
서울특별시,송파구,915467.0
서울특별시,강남구,852176.0
서울특별시,강서구,825419.0
서울특별시,관악구,691698.0
서울특별시,서초구,672924.0
서울특별시,마포구,617330.0
서울특별시,동작구,588430.0
서울특별시,노원구,569156.0
서울특별시,성북구,521514.0
서울특별시,영등포구,515004.0
서울특별시,양천구,514482.0
서울특별시,강동구,513440.0
서울특별시,은평구,500412.0
서울특별시,서대문구,474548.0
서울특별시,광진구,455528.0
서울특별시,구로구,424918.0
서울특별시,성동구,422734.0
서울특별시,동대문구,385486.0
서울특별시,중랑구,353714.0
서울특별시,용산구,347092.0
서울특별시,도봉구,289065.0
서울특별시,강북구,276958.0
서울특별시,종로구,235630.0
서울특별시,금천구,192570.0
서울특별시,중구,169218.0
부산광역시,해운대구,431680.0
부산광역시,부산진구,306782.0
부산광역시,남구,286062.0
부산광역시,금정구,257166.0
부산광역시,사하구,251366.0
부산광역시,동래구,238962.0
부산광역시,북구,237646.0
부산광역시,연제구,187635.0
부산광역시,수영구,174153.0
부산광역시,사상구,161126.0
부산광역시,기장군,137896.0
부산광역시,강서구,122510.0
부산광역시,영도구,115626.0
부산광역시,서구,102728.0
부산광역시,동구,59126.0
부산광역시,중구,47470.0
경상남도,김해시,422576.0
경상남도,진주시,298190.0
경상남도,양산시,259567.0
경상남도,거제시,258202.0
경상남도,창원시 의창구,225152.0
경상남도,창원시 성산구,223412.0
경상남도,창원시 마산회원구,158672.0
경상남도,창원시 마산합포구,147973.0
경상남도,창원시 진해구,143647.0
경상남도,통영시,110456.0
경상남도,사천시,88816.0
경상남도,밀양시,77021.0
경상남도,함안군,54680.0
경상남도,창녕군,41055.0
경상남도,거창군,39578.0
경상남도,남해군,31762.0
경상남도,합천군,30090.0
경상남도,함양군,29830.0
경상남도,고성군,27580.0
경상남도,산청군,23968.0
경상남도,하동군,23779.0
경상남도,의령군,19845.0
인천광역시,서구,556350.0
인천광역시,부평구,433629.0
인천광역시,남동구,421978.0
인천광역시,연수구,389578.0
인천광역시,미추홀구,313114.0
인천광역시,계양구,265738.0
인천광역시,중구,153710.0
인천광역시,강화군,68530.0
인천광역시,동구,37723.0
인천광역시,옹진군,18095.0
대구광역시,달서구,539038.0
대구광역시,수성구,536022.0
대구광역시,북구,430076.0
대구광역시,동구,339381.0
대구광역시,달성군,231434.0
대구광역시,남구,128443.0
대구광역시,서구,107972.0
대구광역시,중구,94199.0
경상북도,구미시,287735.0
경상북도,경산시,277634.0
경상북도,경주시,220423.0
경상북도,포항시 북구,219898.0
경상북도,포항시 남구,194656.0
경상북도,안동시,155418.0
경상북도,김천시,112634.0
경상북도,영주시,84088.0
경상북도,상주시,74316.0
경상북도,칠곡군,67270.0
경상북도,영천시,57939.0
경상북도,예천군,49007.0
경상북도,문경시,44877.0
경상북도,울진군,40684.0
경상북도,의성군,30558.0
경상북도,성주군,30216.0
경상북도,영덕군,28413.0
경상북도,청도군,27615.0
경상북도,청송군,22320.0
경상북도,봉화군,22236.0
경상북도,고령군,19260.0
경상북도,군위군,13920.0
경상북도,영양군,12467.0
경상북도,울릉군,6682.0
전라남도,목포시,358806.0
전라남도,순천시,259032.0
전라남도,여수시,255913.0
전라남도,나주시,129080.0
전라남도,무안군,120872.0
전라남도,광양시,114334.0
전라남도,완도군,81448.0
전라남도,해남군,61842.0
전라남도,화순군,57166.0
전라남도,영암군,56620.0
전라남도,담양군,46918.0
전라남도,영광군,46050.0
전라남도,고흥군,44244.0
전라남도,신안군,39907.0
전라남도,강진군,39725.0
전라남도,장흥군,35511.0
전라남도,장성군,35168.0
전라남도,진도군,33635.0
전라남도,보성군,31518.0
전라남도,곡성군,22883.0
전라남도,함평군,21010.0
전라남도,구례군,19316.0
광주광역시,북구,555464.0
광주광역시,광산구,487942.0
광주광역시,서구,419752.0
광주광역시,남구,290874.0
광주광역시,동구,131968.0
충청남도,천안시 서북구,326571.0
충청남도,아산시,273735.0
충청남도,천안시 동남구,255444.0
충청남도,서산시,136297.0
충청남도,당진시,132573.0
충청남도,논산시,98710.0
충청남도,보령시,93740.0
충청남도,홍성군,82848.0
충청남도,공주시,77861.0
충청남도,예산군,67840.0
충청남도,태안군,66308.0
충청남도,부여군,58916.0
충청남도,서천군,47638.0
충청남도,계룡시,45560.0
충청남도,금산군,40394.0
충청남도,청양군,22088.0
전라북도,전주시 완산구,384318.0
전라북도,전주시 덕진구,324572.0
전라북도,익산시,289384.0
전라북도,군산시,288582.0
전라북도,완주군,90884.0
전라북도,정읍시,81501.0
전라북도,남원시,64778.0
전라북도,김제시,56808.0
전라북도,고창군,52136.0
전라북도,부안군,40320.0
전라북도,무주군,19894.0
전라북도,순창군,17493.0
전라북도,장수군,14508.0
전라북도,임실군,14200.0
전라북도,진안군,11420.0
충청북도,청주시 흥덕구,286272.0
충청북도,청주시 서원구,256952.0
충청북도,청주시 청원구,237951.0
충청북도,충주시,224346.0
충청북도,청주시 상당구,177464.0
충청북도,음성군,112770.0
충청북도,제천시,80986.0
충청북도,진천군,66143.0
충청북도,증평군,52958.0
충청북도,옥천군,42063.0
충청북도,영동군,40072.0
충청북도,괴산군,27426.0
충청북도,단양군,25378.0
충청북도,보은군,22106.0
대전광역시,유성구,522518.0
대전광역시,서구,520656.0
대전광역시,중구,219922.0
대전광역시,동구,192146.0
대전광역시,대덕구,144750.0
강원도,원주시,289068.0
강원도,춘천시,260844.0
강원도,강릉시,187593.0
강원도,속초시,72342.0
강원도,동해시,59392.0
강원도,삼척시,50134.0
강원도,평창군,47075.0
강원도,홍천군,44950.0
강원도,태백시,43890.0
강원도,양양군,37544.0
강원도,정선군,36166.0
강원도,횡성군,34055.0
강원도,철원군,33422.0
강원도,인제군,30513.0
강원도,고성군,23478.0
강원도,양구군,23334.0
강원도,영월군,23222.0
강원도,화천군,20853.0
울산광역시,남구,327568.0
울산광역시,중구,197120.0
울산광역시,울주군,196168.0
울산광역시,북구,185328.0
울산광역시,동구,127460.0
세종특별자치시,세종특별자치시,437980.0
