기준연월,목적지 유형,검색량
202103,기타관광,198739
202103,쇼핑,92598
202103,숙박,287836
202103,음식,591110
202103,자연관광,233811
202103,문화관광,122149
202103,역사관광,15154
202103,체험관광,4919
202103,레저스포츠,71753
202110,기타관광,247110
202110,쇼핑,114083
202110,숙박,432708
202110,음식,856510
202110,자연관광,319318
202110,문화관광,183544
202110,역사관광,14887
202110,체험관광,9033
202110,레저스포츠,109470
202104,기타관광,228997
202104,쇼핑,105811
202104,숙박,359669
202104,음식,713481
202104,자연관광,282811
202104,문화관광,147168
202104,역사관광,17799
202104,체험관광,3932
202104,레저스포츠,93118
202101,기타관광,98885
202101,쇼핑,51901
202101,숙박,152796
202101,음식,291734
202101,자연관광,113766
202101,문화관광,64161
202101,역사관광,6731
202101,체험관광,5823
202101,레저스포츠,34548
202102,기타관광,158932
202102,쇼핑,76479
202102,숙박,252356
202102,음식,507323
202102,자연관광,186616
202102,문화관광,113653
202102,역사관광,9646
202102,체험관광,7998
202102,레저스포츠,62618
202106,기타관광,218944
202106,쇼핑,102388
202106,숙박,383275
202106,음식,741363
202106,자연관광,291273
202106,문화관광,153860
202106,역사관광,11537
202106,체험관광,3894
202106,레저스포츠,96808
202108,기타관광,210348
202108,쇼핑,104509
202108,숙박,411514
202108,음식,795953
202108,자연관광,324658
202108,문화관광,160723
202108,역사관광,10609
202108,체험관광,3600
202108,레저스포츠,87576
202105,기타관광,230044
202105,쇼핑,108427
202105,숙박,390524
202105,음식,762595
202105,자연관광,302385
202105,문화관광,171260
202105,역사관광,15322
202105,체험관광,3824
202105,레저스포츠,100891
202111,기타관광,212373
202111,쇼핑,102702
202111,숙박,370518
202111,음식,719550
202111,자연관광,248199
202111,문화관광,165374
202111,역사관광,13812
202111,체험관광,12079
202111,레저스포츠,91190
202112,기타관광,169562
202112,쇼핑,89663
202112,숙박,301941
202112,음식,582167
202112,자연관광,179071
202112,문화관광,144096
202112,역사관광,11010
202112,체험관광,18695
202112,레저스포츠,65165
202107,기타관광,201230
202107,쇼핑,100523
202107,숙박,406500
202107,음식,753904
202107,자연관광,306092
202107,문화관광,156044
202107,역사관광,10567
202107,체험관광,2966
202107,레저스포츠,87932
202109,기타관광,177310
202109,쇼핑,87717
202109,숙박,319018
202109,음식,650322
202109,자연관광,249033
202109,문화관광,130520
202109,역사관광,9878
202109,체험관광,4160
202109,레저스포츠,76768
